frame,class,confidence,bbox
0,car,0.8938742876052856,"[732.0296630859375, 329.91436767578125, 1070.0181884765625, 497.18927001953125]"
0,car,0.8594681620597839,"[617.2977294921875, 347.40936279296875, 721.4306640625, 414.85174560546875]"
0,car,0.7793633341789246,"[227.36669921875, 319.9064025878906, 302.77471923828125, 377.0832824707031]"
0,car,0.7617395520210266,"[59.95348358154297, 286.18035888671875, 237.7833251953125, 414.02630615234375]"
0,person,0.7275205254554749,"[748.975341796875, 315.68304443359375, 771.869873046875, 381.44573974609375]"
0,person,0.4934292435646057,"[730.3697509765625, 326.76800537109375, 750.8673095703125, 382.27777099609375]"
0,car,0.47809550166130066,"[283.66717529296875, 318.6280822753906, 336.74993896484375, 365.8584899902344]"
0,car,0.4673211872577667,"[553.8955078125, 316.5913391113281, 583.5087890625, 358.6794738769531]"
0,car,0.45916205644607544,"[579.4950561523438, 323.343017578125, 648.2982788085938, 389.9473876953125]"
0,car,0.4047020673751831,"[589.9588012695312, 332.94219970703125, 646.4972534179688, 390.63934326171875]"
0,person,0.3025898337364197,"[739.4363403320312, 316.27130126953125, 773.4193725585938, 384.92010498046875]"
1,car,0.893762469291687,"[732.0274658203125, 329.9139404296875, 1070.0177001953125, 497.1846923828125]"
1,car,0.8591458201408386,"[617.2984619140625, 347.4078063964844, 721.4290771484375, 414.8487854003906]"
1,car,0.7792178988456726,"[227.3654327392578, 319.8974609375, 302.77471923828125, 377.090087890625]"
1,car,0.7624209523200989,"[59.949493408203125, 286.25457763671875, 237.780029296875, 414.02520751953125]"
1,person,0.7277816534042358,"[748.9747314453125, 315.68292236328125, 771.8704833984375, 381.4453125]"
1,person,0.49350523948669434,"[730.368896484375, 326.76873779296875, 750.866943359375, 382.27545166015625]"
1,car,0.4781193733215332,"[283.66741943359375, 318.6225891113281, 336.76177978515625, 365.8552551269531]"
1,car,0.4674889147281647,"[553.895751953125, 316.5915832519531, 583.52685546875, 358.6805114746094]"
1,car,0.4587131142616272,"[579.510498046875, 323.36358642578125, 648.3072509765625, 389.9464111328125]"
1,car,0.404425710439682,"[589.962158203125, 332.9732666015625, 646.4873046875, 390.64251708984375]"
1,person,0.30280444025993347,"[739.4415283203125, 316.2713623046875, 773.4207763671875, 384.9178466796875]"
2,car,0.8960228562355042,"[743.7469482421875, 329.8560791015625, 1109.7030029296875, 503.18280029296875]"
2,car,0.860686719417572,"[620.563720703125, 348.31591796875, 727.680908203125, 417.0401611328125]"
2,car,0.7880030870437622,"[49.19801330566406, 285.83233642578125, 231.83229064941406, 416.04510498046875]"
2,car,0.7874720096588135,"[223.63107299804688, 320.06976318359375, 300.5041198730469, 378.83599853515625]"
2,person,0.6545018553733826,"[750.8721313476562, 315.6323547363281, 774.8886108398438, 383.8348083496094]"
2,car,0.5180869698524475,"[580.7303466796875, 325.50048828125, 666.2806396484375, 393.490478515625]"
2,car,0.4964759647846222,"[285.2539367675781, 321.1358642578125, 330.3099060058594, 365.0086669921875]"
2,car,0.4962301552295685,"[554.149658203125, 316.34942626953125, 585.06396484375, 359.99774169921875]"
2,person,0.3898334503173828,"[735.16748046875, 323.10919189453125, 759.606689453125, 383.49700927734375]"
2,person,0.3778250515460968,"[740.020751953125, 317.811767578125, 774.7578125, 385.5115966796875]"
2,car,0.31359753012657166,"[587.7197265625, 327.97076416015625, 648.64697265625, 391.93609619140625]"
2,car,0.3013068735599518,"[287.8938903808594, 320.90167236328125, 343.8923645019531, 362.67095947265625]"
3,car,0.903982400894165,"[744.0767822265625, 330.1505126953125, 1109.43115234375, 503.2147216796875]"
3,car,0.8386572003364563,"[621.21142578125, 348.16180419921875, 727.00048828125, 416.66436767578125]"
3,car,0.7870844006538391,"[224.47540283203125, 318.9903564453125, 301.13983154296875, 377.5224609375]"
3,car,0.780019223690033,"[45.6173095703125, 286.0766296386719, 232.531005859375, 416.2392883300781]"
3,car,0.618742823600769,"[586.8082275390625, 327.82421875, 667.7642822265625, 393.22528076171875]"
3,person,0.5957670211791992,"[753.7766723632812, 318.12762451171875, 777.6171264648438, 385.20379638671875]"
3,car,0.49875664710998535,"[288.3013916015625, 320.156005859375, 336.0108642578125, 366.2769775390625]"
3,car,0.4077953100204468,"[556.4578857421875, 316.3289794921875, 588.0494384765625, 360.83837890625]"
3,person,0.38852983713150024,"[738.5802001953125, 319.7535400390625, 776.9654541015625, 385.7628173828125]"
3,person,0.35414934158325195,"[736.8329467773438, 323.9284973144531, 760.8411254882812, 384.1011047363281]"
3,car,0.2848213016986847,"[305.50732421875, 321.614013671875, 346.864501953125, 361.22430419921875]"
3,car,0.2635728120803833,"[558.7724609375, 317.751953125, 602.2777099609375, 364.7373046875]"
3,car,0.2586281895637512,"[591.7630615234375, 333.0406799316406, 653.1492919921875, 392.4243469238281]"
4,car,0.9108315110206604,"[623.6993408203125, 346.4317626953125, 732.730224609375, 415.7548828125]"
4,car,0.9045308232307434,"[755.0380859375, 326.2784423828125, 1148.66162109375, 500.2769775390625]"
4,car,0.7563643455505371,"[216.2796173095703, 319.5685729980469, 300.70806884765625, 377.5286560058594]"
4,car,0.7190515398979187,"[38.67329406738281, 283.89404296875, 226.22816467285156, 415.62060546875]"
4,person,0.6653525829315186,"[757.330322265625, 316.6221923828125, 780.103759765625, 384.25213623046875]"
4,car,0.5535287261009216,"[283.2460632324219, 318.9153137207031, 333.2634582519531, 363.7445373535156]"
4,car,0.5391779541969299,"[592.2952880859375, 326.8525695800781, 667.5142822265625, 393.9082336425781]"
4,car,0.46854838728904724,"[555.256103515625, 317.45074462890625, 583.6142578125, 357.43023681640625]"
4,person,0.32033243775367737,"[739.1049194335938, 319.85296630859375, 774.8589477539062, 383.13983154296875]"
4,person,0.2946203351020813,"[749.3184814453125, 318.068359375, 778.4273681640625, 383.71136474609375]"
4,person,0.25054365396499634,"[738.4740600585938, 321.5455017089844, 762.1796264648438, 382.3622741699219]"
5,car,0.9109453558921814,"[623.701171875, 346.44683837890625, 732.70703125, 415.733154296875]"
5,car,0.9023177623748779,"[755.040283203125, 326.35064697265625, 1148.611083984375, 500.2806396484375]"
5,car,0.7573663592338562,"[216.27947998046875, 319.56402587890625, 300.71270751953125, 377.51837158203125]"
5,car,0.7218097448348999,"[38.66053771972656, 283.89361572265625, 226.2231903076172, 415.62774658203125]"
5,person,0.663212239742279,"[757.3271484375, 316.64129638671875, 780.100341796875, 384.2421875]"
5,car,0.5548055171966553,"[283.28802490234375, 318.9213562011719, 333.27618408203125, 363.7397766113281]"
5,car,0.5354804396629333,"[592.308837890625, 326.8492431640625, 667.494384765625, 393.918701171875]"
5,car,0.4646645784378052,"[555.2332153320312, 317.4121398925781, 583.5845336914062, 357.4142761230469]"
5,person,0.3189878761768341,"[739.1231689453125, 319.91571044921875, 774.8262939453125, 383.12835693359375]"
5,person,0.2961272597312927,"[749.1646728515625, 318.09197998046875, 778.3699951171875, 383.70001220703125]"
6,car,0.9111177921295166,"[623.7154541015625, 346.43359375, 732.7176513671875, 415.772216796875]"
6,car,0.9045907855033875,"[755.04345703125, 326.25994873046875, 1148.69140625, 500.28814697265625]"
6,car,0.7549882531166077,"[216.30801391601562, 319.5616149902344, 300.7032775878906, 377.4965515136719]"
6,car,0.7180260419845581,"[38.6168212890625, 283.86328125, 226.17825317382812, 415.62744140625]"
6,person,0.6626143455505371,"[757.34033203125, 316.6123352050781, 780.103515625, 384.2599792480469]"
6,car,0.558184802532196,"[283.34326171875, 318.9483642578125, 333.177978515625, 363.7620849609375]"
6,car,0.5364575386047363,"[592.364990234375, 326.8821716308594, 667.4664306640625, 393.8946838378906]"
6,car,0.4691835641860962,"[555.266845703125, 317.4788818359375, 583.577880859375, 357.402099609375]"
6,person,0.3213198184967041,"[739.122314453125, 319.87017822265625, 774.783203125, 383.13775634765625]"
6,person,0.2942005693912506,"[749.2394409179688, 318.06317138671875, 778.4019165039062, 383.70513916015625]"
7,car,0.9108714461326599,"[623.71875, 346.4281005859375, 732.716796875, 415.79388427734375]"
7,car,0.9049932956695557,"[755.048095703125, 326.2696533203125, 1148.698486328125, 500.3203125]"
7,car,0.7543696165084839,"[216.30673217773438, 319.55950927734375, 300.7062072753906, 377.49298095703125]"
7,car,0.7166593670845032,"[38.611671447753906, 283.86846923828125, 226.18124389648438, 415.64093017578125]"
7,person,0.662885844707489,"[757.3422241210938, 316.61407470703125, 780.1038208007812, 384.26348876953125]"
7,car,0.5582237839698792,"[283.3497619628906, 318.9561767578125, 333.1637878417969, 363.763916015625]"
7,car,0.5365100502967834,"[592.3812255859375, 326.89520263671875, 667.4913330078125, 393.9010009765625]"
7,car,0.4695682227611542,"[555.2662353515625, 317.4872741699219, 583.6038818359375, 357.4085388183594]"
7,person,0.32116541266441345,"[739.1146850585938, 319.8604736328125, 774.8189086914062, 383.1431884765625]"
7,person,0.29366275668144226,"[749.1961669921875, 318.0700378417969, 778.4017333984375, 383.7094421386719]"
8,car,0.8985294699668884,"[756.75390625, 326.43402099609375, 1141.2666015625, 500.86431884765625]"
8,car,0.8046702146530151,"[625.2783203125, 344.35211181640625, 736.8857421875, 417.65838623046875]"
8,car,0.7704076766967773,"[219.409912109375, 318.9446105957031, 299.11602783203125, 375.9778137207031]"
