frame,class,confidence,bbox
10,WALK CROSS,0.5303103923797607,"[0.0, 49.0, 109.0, 276.0]"
14,NO RIGHT TURN,0.534590482711792,"[0.0, 417.0, 1280.0, 719.0]"
17,NO RIGHT TURN,0.5228692293167114,"[1.0, 422.0, 1280.0, 720.0]"
19,NO RIGHT TURN,0.5212935209274292,"[1.0, 434.0, 1280.0, 720.0]"
66,SPEED LIMIT 40KMH,0.9177796244621277,"[0.0, 0.0, 1279.0, 720.0]"
82,SPEED LIMIT 40KMH,0.7523808479309082,"[1.0, 0.0, 1280.0, 720.0]"
85,SPEED LIMIT 40KMH,0.7956064939498901,"[1.0, 0.0, 1280.0, 720.0]"
86,SPEED LIMIT 40KMH,0.5850224494934082,"[8.0, 0.0, 1280.0, 720.0]"
89,SPEED LIMIT 40KMH,0.6622694730758667,"[2.0, 0.0, 1280.0, 720.0]"
90,SPEED LIMIT 40KMH,0.5150834321975708,"[12.0, 2.0, 1274.0, 720.0]"
134,SPEED LIMIT 40KMH,0.5278595685958862,"[0.0, 5.0, 1280.0, 720.0]"
143,SCHOOL ZONE,0.5394268035888672,"[0.0, 0.0, 165.0, 378.0]"
144,SCHOOL ZONE,0.6285222768783569,"[0.0, 0.0, 127.0, 367.0]"
145,SCHOOL ZONE,0.5391719341278076,"[0.0, 1.0, 106.0, 361.0]"
148,SCHOOL ZONE,0.5386073589324951,"[0.0, 4.0, 81.0, 363.0]"
149,SCHOOL ZONE,0.6142867207527161,"[0.0, 3.0, 98.0, 351.0]"
157,SCHOOL ZONE,0.5776832103729248,"[0.0, 78.0, 138.0, 341.0]"
158,WALK CROSS,0.5273281335830688,"[1.0, 35.0, 125.0, 339.0]"
159,WALK CROSS,0.7806169390678406,"[0.0, 2.0, 126.0, 343.0]"
159,SCHOOL ZONE,0.7138581275939941,"[0.0, 81.0, 126.0, 342.0]"
160,SCHOOL ZONE,0.5926377773284912,"[0.0, 113.0, 102.0, 343.0]"
161,SCHOOL ZONE,0.7960678935050964,"[0.0, 139.0, 108.0, 343.0]"
162,SCHOOL ZONE,0.7508584260940552,"[0.0, 114.0, 87.0, 339.0]"
163,SCHOOL ZONE,0.5236651301383972,"[0.0, 126.0, 85.0, 338.0]"
165,WALK CROSS,0.5308618545532227,"[0.0, 145.0, 76.0, 334.0]"
218,STOP,0.5791804790496826,"[831.0, 175.0, 928.0, 273.0]"
222,STOP,0.6799534559249878,"[853.0, 174.0, 947.0, 264.0]"
225,STOP,0.5061260461807251,"[883.0, 157.0, 970.0, 256.0]"
227,STOP,0.8242173790931702,"[891.0, 146.0, 987.0, 250.0]"
228,STOP,0.8270930051803589,"[899.0, 142.0, 994.0, 248.0]"
229,STOP,0.8775862455368042,"[912.0, 144.0, 1006.0, 253.0]"
230,STOP,0.7888332605361938,"[916.0, 132.0, 1021.0, 251.0]"
231,STOP,0.8461184501647949,"[931.0, 139.0, 1019.0, 247.0]"
232,STOP,0.825633704662323,"[942.0, 139.0, 1033.0, 243.0]"
234,STOP,0.8685563802719116,"[955.0, 129.0, 1051.0, 238.0]"
235,STOP,0.7700504660606384,"[963.0, 139.0, 1054.0, 234.0]"
238,STOP,0.5956993103027344,"[984.0, 117.0, 1082.0, 235.0]"
240,STOP,0.8660761713981628,"[1019.0, 106.0, 1135.0, 214.0]"
241,STOP,0.8307190537452698,"[1035.0, 102.0, 1146.0, 209.0]"
242,STOP,0.8444317579269409,"[1050.0, 91.0, 1159.0, 200.0]"
243,STOP,0.8987801671028137,"[1064.0, 83.0, 1178.0, 196.0]"
244,STOP,0.9273884296417236,"[1085.0, 73.0, 1204.0, 197.0]"
245,STOP,0.8471816778182983,"[1093.0, 66.0, 1224.0, 194.0]"
246,STOP,0.8365898728370667,"[1115.0, 65.0, 1225.0, 191.0]"
247,STOP,0.8770840764045715,"[1131.0, 60.0, 1267.0, 183.0]"
248,STOP,0.8565551042556763,"[1151.0, 56.0, 1275.0, 195.0]"
249,STOP,0.8862774968147278,"[1167.0, 42.0, 1279.0, 187.0]"
250,STOP,0.8610342144966125,"[1183.0, 36.0, 1280.0, 187.0]"
251,STOP,0.8373244404792786,"[1207.0, 34.0, 1280.0, 172.0]"
252,STOP,0.5516244769096375,"[1229.0, 13.0, 1280.0, 169.0]"
