frame,class,confidence,bbox
2,car,0.30713212490081787,"[409.8380126953125, 381.8563537597656, 486.2794189453125, 439.6581115722656]"
4,car,0.38507863879203796,"[413.733154296875, 381.3424987792969, 487.7626953125, 429.7626647949219]"
5,car,0.2993531823158264,"[412.05780029296875, 381.70562744140625, 488.31353759765625, 433.41082763671875]"
5,truck,0.2733832001686096,"[411.53961181640625, 380.6968994140625, 489.48931884765625, 434.5595703125]"
5,person,0.2592909634113312,"[908.2727661132812, 350.8289489746094, 928.9157104492188, 390.4117736816406]"
6,car,0.34652453660964966,"[412.345947265625, 374.44940185546875, 494.45245361328125, 440.53057861328125]"
7,car,0.2823126018047333,"[415.1920166015625, 379.83001708984375, 492.7974853515625, 431.64764404296875]"
8,car,0.36019009351730347,"[416.6124267578125, 382.898681640625, 493.33795166015625, 436.744384765625]"
9,car,0.5644473433494568,"[417.32073974609375, 381.0945129394531, 494.35675048828125, 435.9407043457031]"
9,car,0.2559654712677002,"[373.5625915527344, 379.89544677734375, 403.5054016113281, 408.27484130859375]"
10,boat,0.2608756124973297,"[419.9749755859375, 381.97406005859375, 495.449462890625, 428.43438720703125]"
11,car,0.47875767946243286,"[370.321044921875, 385.093994140625, 404.06884765625, 411.0570068359375]"
11,car,0.4644681215286255,"[418.609619140625, 381.9709777832031, 498.83880615234375, 436.3791809082031]"
12,car,0.5521950125694275,"[771.9381103515625, 371.7286071777344, 840.0941162109375, 413.0273132324219]"
12,car,0.45389825105667114,"[420.13128662109375, 390.52716064453125, 494.98565673828125, 438.5992431640625]"
13,car,0.3150240182876587,"[363.3120422363281, 387.03045654296875, 403.0333557128906, 412.8406982421875]"
14,car,0.5568932294845581,"[366.70465087890625, 388.59613037109375, 405.61651611328125, 414.05548095703125]"
14,car,0.5522801280021667,"[426.0074462890625, 381.3142395019531, 499.6019287109375, 433.3838806152344]"
14,car,0.30850228667259216,"[779.4014892578125, 372.791748046875, 849.8870849609375, 412.5902099609375]"
14,truck,0.2618727684020996,"[425.97235107421875, 380.23779296875, 499.58062744140625, 432.3680419921875]"
15,car,0.5259421467781067,"[367.2249755859375, 384.6504211425781, 404.483642578125, 411.8020935058594]"
16,car,0.481638103723526,"[361.7734680175781, 383.85247802734375, 401.6681823730469, 414.43377685546875]"
16,truck,0.2575136721134186,"[429.0740661621094, 382.552734375, 507.0419006347656, 436.7430419921875]"
17,car,0.45802074670791626,"[363.0079650878906, 388.21142578125, 401.3535461425781, 414.55279541015625]"
17,car,0.37648242712020874,"[429.4627685546875, 385.876953125, 505.48358154296875, 437.6689453125]"
19,truck,0.29599910974502563,"[432.53973388671875, 382.55841064453125, 512.920166015625, 438.83135986328125]"
20,car,0.34300851821899414,"[443.6285400390625, 384.00091552734375, 510.8421630859375, 437.261474609375]"
20,truck,0.28507158160209656,"[440.9023742675781, 383.8447570800781, 511.7062683105469, 437.6158142089844]"
21,car,0.43923529982566833,"[438.3504638671875, 383.0382080078125, 513.7073974609375, 436.5462646484375]"
22,car,0.28637418150901794,"[348.2875061035156, 390.76788330078125, 396.4115905761719, 418.156005859375]"
22,car,0.266498327255249,"[441.13494873046875, 385.8472900390625, 515.1168212890625, 439.710693359375]"
24,truck,0.3162098526954651,"[442.17999267578125, 384.47393798828125, 515.7734985351562, 437.92987060546875]"
25,car,0.7305978536605835,"[444.6600341796875, 384.76361083984375, 517.864990234375, 437.34149169921875]"
26,car,0.5993068218231201,"[444.61376953125, 386.1744384765625, 516.830078125, 437.9815673828125]"
27,car,0.7543401718139648,"[448.9349365234375, 383.77398681640625, 521.2796020507812, 439.6536865234375]"
29,car,0.8191978931427002,"[446.9661865234375, 384.04150390625, 523.4730834960938, 438.957275390625]"
30,car,0.8426942825317383,"[452.6080322265625, 383.38555908203125, 523.7774047851562, 437.05682373046875]"
30,car,0.4079432785511017,"[815.1734008789062, 375.2054443359375, 895.1904907226562, 424.5732421875]"
31,car,0.6872524619102478,"[457.66607666015625, 383.8937683105469, 526.5083618164062, 437.4553527832031]"
32,car,0.3908340036869049,"[454.2979736328125, 384.0926513671875, 526.710205078125, 438.8792724609375]"
32,truck,0.3127141296863556,"[447.793212890625, 384.97265625, 527.32666015625, 439.1483154296875]"
33,car,0.6884871125221252,"[459.3150634765625, 383.0467224121094, 529.431396484375, 437.8537902832031]"
