frame,class,confidence,bbox
0,car,0.8839284181594849,"[0.20082855224609375, 463.8265686035156, 123.34862518310547, 549.6422119140625]"
0,traffic light,0.8466138243675232,"[657.8424072265625, 256.8345947265625, 680.8489990234375, 304.0927734375]"
0,traffic light,0.7104235887527466,"[503.2635498046875, 260.17962646484375, 526.6046142578125, 305.78326416015625]"
0,truck,0.5639297366142273,"[1079.008544921875, 438.48858642578125, 1280.0, 540.1611938476562]"
0,car,0.5622394680976868,"[274.94439697265625, 458.18096923828125, 382.49761962890625, 519.8341674804688]"
0,car,0.4348694980144501,"[724.0010375976562, 456.53289794921875, 749.1793823242188, 475.67791748046875]"
0,traffic light,0.4337122440338135,"[527.1842041015625, 263.4550476074219, 561.8065185546875, 300.4112854003906]"
0,car,0.42677128314971924,"[854.3072509765625, 456.42254638671875, 952.385986328125, 502.5582275390625]"
1,traffic light,0.8453943729400635,"[657.966796875, 251.35888671875, 681.454345703125, 300.7818603515625]"
1,car,0.8152058124542236,"[0.22339630126953125, 463.2252197265625, 107.16525268554688, 549.671630859375]"
1,traffic light,0.7104876041412354,"[499.8240966796875, 255.51083374023438, 522.8436279296875, 301.8432312011719]"
1,truck,0.6807850003242493,"[1089.864990234375, 436.80291748046875, 1279.413330078125, 546.0230102539062]"
1,car,0.589949905872345,"[856.6048583984375, 456.42315673828125, 956.109619140625, 501.18096923828125]"
1,car,0.5632565021514893,"[263.30364990234375, 454.3458251953125, 378.79620361328125, 520.3074340820312]"
1,car,0.5415818691253662,"[264.06170654296875, 458.279052734375, 350.38128662109375, 519.3599853515625]"
1,traffic light,0.485646516084671,"[525.3345336914062, 256.3363037109375, 560.7014770507812, 293.908935546875]"
1,car,0.4038270115852356,"[724.628173828125, 456.80218505859375, 749.755615234375, 475.36224365234375]"
2,traffic light,0.8667661547660828,"[658.4808959960938, 249.40240478515625, 681.6621704101562, 296.1854248046875]"
2,traffic light,0.8197789788246155,"[497.4659423828125, 251.0897216796875, 520.5269775390625, 298.6170654296875]"
2,car,0.7540121674537659,"[0.162353515625, 462.10223388671875, 82.5113525390625, 551.2003784179688]"
2,car,0.7340114712715149,"[253.03195190429688, 453.09783935546875, 371.1604309082031, 520.2240600585938]"
2,truck,0.5468955039978027,"[1102.494384765625, 436.0287170410156, 1279.237060546875, 543.6531982421875]"
2,car,0.5094485282897949,"[859.5926513671875, 456.44482421875, 959.3333740234375, 501.3087158203125]"
2,car,0.49747106432914734,"[724.0198364257812, 454.3641357421875, 750.3609008789062, 473.23583984375]"
2,traffic light,0.4414631128311157,"[523.7137451171875, 253.32656860351562, 559.4815673828125, 290.5863952636719]"
3,traffic light,0.8144357800483704,"[658.7311401367188, 240.68682861328125, 683.3049926757812, 292.84527587890625]"
3,traffic light,0.7940082550048828,"[493.31329345703125, 243.46954345703125, 517.9166259765625, 294.0]"
3,car,0.6605080962181091,"[0.0460357666015625, 463.5201416015625, 51.16653060913086, 554.63037109375]"
3,car,0.6432035565376282,"[236.37765502929688, 452.569580078125, 366.7514343261719, 521.0478515625]"
3,car,0.5714491009712219,"[864.2738037109375, 455.66021728515625, 966.6431884765625, 501.30694580078125]"
3,car,0.5684521198272705,"[723.7930908203125, 452.2545166015625, 751.6497802734375, 471.9422607421875]"
3,car,0.5677019357681274,"[1114.802001953125, 434.09783935546875, 1276.428466796875, 542.4334106445312]"
3,truck,0.4749707877635956,"[1116.647216796875, 434.69927978515625, 1278.8896484375, 545.8650512695312]"
3,car,0.469546914100647,"[42.41477584838867, 469.604248046875, 105.04890441894531, 512.0474853515625]"
3,traffic light,0.4428820312023163,"[519.4676513671875, 247.8455810546875, 555.6912841796875, 285.4874267578125]"
3,traffic light,0.4348297715187073,"[921.0089721679688, 308.2069091796875, 938.1817016601562, 341.48388671875]"
3,car,0.2755814492702484,"[433.44915771484375, 447.2196044921875, 465.62249755859375, 469.6170654296875]"
4,traffic light,0.83552485704422,"[658.8328857421875, 235.3323974609375, 683.9986572265625, 287.7200927734375]"
4,traffic light,0.7623975276947021,"[490.03680419921875, 239.63702392578125, 514.8283081054688, 289.40081787109375]"
4,car,0.6786874532699585,"[724.7201538085938, 451.5567626953125, 752.2807006835938, 471.270751953125]"
4,car,0.6182228922843933,"[1132.7568359375, 432.67718505859375, 1279.8154296875, 553.7107543945312]"
4,car,0.5979898571968079,"[219.84429931640625, 451.29693603515625, 353.030517578125, 522.9015502929688]"
4,car,0.565759539604187,"[868.501953125, 456.1202392578125, 975.135009765625, 501.322509765625]"
4,traffic light,0.4708872139453888,"[518.1107177734375, 241.63031005859375, 553.8446044921875, 278.02276611328125]"
4,traffic light,0.4397372007369995,"[925.8397216796875, 304.89569091796875, 943.8607177734375, 338.01373291015625]"
4,car,0.4390869736671448,"[17.06396484375, 474.6799011230469, 96.437744140625, 508.888671875]"
5,traffic light,0.8688121438026428,"[658.7758178710938, 233.01513671875, 683.9541625976562, 283.746826171875]"
5,car,0.785315990447998,"[202.57257080078125, 451.146484375, 343.724853515625, 529.2515869140625]"
5,traffic light,0.7560709714889526,"[486.56671142578125, 234.68377685546875, 513.4768676757812, 286.71002197265625]"
5,car,0.6748329401016235,"[724.7667236328125, 451.128173828125, 752.6307373046875, 471.22784423828125]"
5,car,0.6200085878372192,"[871.7646484375, 456.5233154296875, 978.691162109375, 501.9254150390625]"
5,car,0.6112085580825806,"[1149.4259033203125, 432.1745910644531, 1279.9879150390625, 546.161865234375]"
5,traffic light,0.49371063709259033,"[516.097412109375, 239.55621337890625, 553.0869140625, 275.29583740234375]"
5,car,0.43224865198135376,"[0.8122329711914062, 474.92633056640625, 89.89163208007812, 523.9613647460938]"
5,traffic light,0.29173532128334045,"[927.3579711914062, 301.007080078125, 945.3174438476562, 336.18499755859375]"
5,car,0.2719351649284363,"[871.0283813476562, 455.72833251953125, 948.5481567382812, 497.98785400390625]"
6,traffic light,0.8270168304443359,"[482.6409606933594, 231.38525390625, 509.3200378417969, 283.193359375]"
6,traffic light,0.8240965604782104,"[658.9842529296875, 228.2360076904297, 684.0101318359375, 279.96173095703125]"
6,car,0.7375055551528931,"[184.620361328125, 452.7625732421875, 336.0482177734375, 534.3701171875]"
6,car,0.677965521812439,"[1164.9599609375, 430.1549072265625, 1279.706298828125, 545.1998291015625]"
6,car,0.6283541321754456,"[724.6301879882812, 451.1440734863281, 753.1990356445312, 471.1611022949219]"
6,car,0.605160117149353,"[872.2996215820312, 455.9229736328125, 982.3682250976562, 502.552734375]"
6,traffic light,0.5946513414382935,"[930.0305786132812, 298.2720642089844, 949.6953735351562, 334.6542053222656]"
6,car,0.48820069432258606,"[0.7334442138671875, 476.0164794921875, 84.88742065429688, 519.888671875]"
6,car,0.47041818499565125,"[872.3270263671875, 455.32330322265625, 949.1722412109375, 497.78350830078125]"
6,traffic light,0.4531140923500061,"[512.9444580078125, 234.91537475585938, 549.308349609375, 271.0231018066406]"
6,car,0.40764719247817993,"[368.785400390625, 465.3992919921875, 423.2122802734375, 498.2626953125]"
6,car,0.3376060426235199,"[350.2835693359375, 462.22265625, 421.3800048828125, 497.559814453125]"
7,traffic light,0.7946218848228455,"[479.75640869140625, 225.42575073242188, 505.78277587890625, 279.4704284667969]"
7,car,0.7781808376312256,"[162.240966796875, 454.1842041015625, 326.7392578125, 536.9625244140625]"
7,car,0.7662600874900818,"[1185.361572265625, 432.11370849609375, 1279.260986328125, 544.9269409179688]"
7,traffic light,0.7661264538764954,"[658.483154296875, 222.89508056640625, 685.9305419921875, 276.6463623046875]"
7,car,0.5769102573394775,"[347.63934326171875, 464.39422607421875, 415.77130126953125, 503.9124755859375]"
7,car,0.5308424830436707,"[879.27001953125, 455.16754150390625, 942.460693359375, 497.56756591796875]"
