frame,class,confidence,bbox
0,car,0.8388046026229858,"[403.3747253417969, 381.56781005859375, 486.6191101074219, 442.65264892578125]"
0,car,0.8319516181945801,"[0.15023040771484375, 382.140625, 127.8317642211914, 528.858154296875]"
0,car,0.7034438848495483,"[369.059814453125, 374.564697265625, 412.2103271484375, 404.731201171875]"
0,car,0.300141841173172,"[598.9742431640625, 364.57977294921875, 629.3453369140625, 389.7855224609375]"
0,car,0.2606824040412903,"[755.5327758789062, 370.1725769042969, 795.1040649414062, 392.8036193847656]"
1,car,0.8476755023002625,"[0.120574951171875, 383.61614990234375, 115.32786560058594, 530.0878295898438]"
1,car,0.8161298632621765,"[404.5144348144531, 382.0054016113281, 488.0704040527344, 441.8701477050781]"
1,car,0.7052182555198669,"[369.8148193359375, 375.67449951171875, 412.18548583984375, 405.947998046875]"
1,car,0.3359988033771515,"[826.1412963867188, 371.06622314453125, 898.1038208007812, 404.68389892578125]"
1,car,0.2852030098438263,"[602.5020141601562, 368.72320556640625, 631.3978881835938, 390.28436279296875]"
1,car,0.25382429361343384,"[759.5340576171875, 369.9676513671875, 797.5789794921875, 392.82977294921875]"
2,car,0.8608066439628601,"[0.13092041015625, 385.182373046875, 104.82290649414062, 534.6646728515625]"
2,car,0.8309794664382935,"[406.54205322265625, 381.764404296875, 487.24530029296875, 440.3321533203125]"
2,car,0.6027905344963074,"[368.02325439453125, 377.94183349609375, 408.55291748046875, 406.70843505859375]"
2,car,0.3544802665710449,"[760.5115966796875, 371.22161865234375, 799.1451416015625, 393.6785888671875]"
2,car,0.32281699776649475,"[827.8368530273438, 370.69232177734375, 899.7782592773438, 403.36322021484375]"
2,car,0.25028565526008606,"[603.94580078125, 369.3382873535156, 632.084716796875, 390.2299499511719]"
3,car,0.8437259197235107,"[407.635009765625, 382.53759765625, 488.2099609375, 440.0634765625]"
3,car,0.8307509422302246,"[0.0232391357421875, 383.82928466796875, 92.15760040283203, 530.825927734375]"
3,car,0.6283267140388489,"[366.8736267089844, 377.753173828125, 408.0502624511719, 407.51434326171875]"
3,car,0.35626155138015747,"[761.502197265625, 371.1092529296875, 802.037841796875, 393.8575439453125]"
4,car,0.8317559957504272,"[0.0, 383.9573974609375, 80.83332824707031, 530.790771484375]"
4,car,0.8174076676368713,"[409.04132080078125, 382.539794921875, 489.13665771484375, 439.4117431640625]"
4,car,0.652241051197052,"[366.955810546875, 379.03515625, 405.7178955078125, 406.788330078125]"
4,car,0.3758491277694702,"[763.2635498046875, 370.9570617675781, 804.9595947265625, 394.0361633300781]"
4,person,0.26889768242836,"[871.0228271484375, 365.3562316894531, 902.3409423828125, 429.9473571777344]"
5,car,0.814648449420929,"[0.01740264892578125, 388.23785400390625, 67.69229125976562, 530.583740234375]"
5,car,0.6822138428688049,"[410.2957763671875, 385.792236328125, 489.1722412109375, 439.25537109375]"
5,car,0.635416567325592,"[367.04998779296875, 377.350341796875, 406.46966552734375, 406.531982421875]"
5,car,0.37341609597206116,"[838.3330078125, 371.82220458984375, 907.05419921875, 403.88543701171875]"
5,car,0.35066768527030945,"[767.357177734375, 370.720947265625, 811.079345703125, 395.18890380859375]"
5,traffic light,0.26388177275657654,"[707.65869140625, 300.8241882324219, 722.81591796875, 333.2403869628906]"
6,car,0.8275948166847229,"[410.9195556640625, 382.49566650390625, 490.888427734375, 438.79931640625]"
6,car,0.6619517207145691,"[0.06521987915039062, 391.1400146484375, 53.83525085449219, 536.4414672851562]"
6,car,0.6587300300598145,"[366.921142578125, 380.49810791015625, 404.1553955078125, 407.7447509765625]"
6,car,0.420184850692749,"[835.3599243164062, 371.7381591796875, 908.4396362304688, 406.8336181640625]"
6,car,0.38437986373901367,"[766.8001098632812, 369.7111511230469, 815.4343872070312, 397.4295959472656]"
7,car,0.7371982932090759,"[413.9881286621094, 383.31988525390625, 492.3005065917969, 436.70635986328125]"
7,car,0.6341632008552551,"[367.98077392578125, 380.5042724609375, 404.18450927734375, 407.3748779296875]"
7,car,0.4622601866722107,"[835.52294921875, 373.03814697265625, 912.7017822265625, 409.94451904296875]"
7,car,0.4032599925994873,"[0.11108016967773438, 401.60589599609375, 40.204368591308594, 541.5974731445312]"
7,car,0.4014934003353119,"[610.7473754882812, 362.2422790527344, 639.5665893554688, 391.2407531738281]"
7,car,0.3613612651824951,"[765.1605224609375, 370.90869140625, 816.8350830078125, 403.7459716796875]"
7,car,0.25035014748573303,"[599.755126953125, 353.4999084472656, 639.78173828125, 390.1812438964844]"
8,car,0.7936916351318359,"[415.76885986328125, 386.2843017578125, 493.790771484375, 438.53289794921875]"
8,car,0.5965293645858765,"[366.0431213378906, 377.74591064453125, 404.0892639160156, 407.77423095703125]"
8,car,0.3599644899368286,"[0.039554595947265625, 407.99652099609375, 25.45162582397461, 532.8424682617188]"
8,person,0.3185400664806366,"[884.9625244140625, 372.0601806640625, 912.650146484375, 429.6820068359375]"
8,car,0.31349629163742065,"[847.0256958007812, 373.65380859375, 913.9395141601562, 403.76348876953125]"
8,car,0.2985808551311493,"[611.150390625, 364.1056213378906, 641.08740234375, 390.5963439941406]"
8,car,0.2885693907737732,"[768.4928588867188, 370.6507263183594, 821.8890991210938, 397.3045959472656]"
8,car,0.28511548042297363,"[846.343505859375, 373.4715881347656, 914.87158203125, 416.2928771972656]"
9,car,0.6748610138893127,"[418.63189697265625, 385.7180480957031, 492.45550537109375, 437.6019592285156]"
9,car,0.6016958951950073,"[366.59478759765625, 377.4070739746094, 404.21783447265625, 407.5801696777344]"
9,person,0.45853182673454285,"[888.3306884765625, 365.63671875, 914.5489501953125, 428.7188720703125]"
9,car,0.36109909415245056,"[612.573486328125, 364.67864990234375, 644.62060546875, 390.42755126953125]"
9,person,0.34832602739334106,"[873.6669921875, 366.85894775390625, 914.778564453125, 428.60992431640625]"
9,car,0.30001088976860046,"[0.005282402038574219, 418.988037109375, 11.924887657165527, 507.5565185546875]"
9,car,0.27248144149780273,"[773.5200805664062, 369.5440368652344, 823.9776000976562, 395.9288635253906]"
10,car,0.7051330208778381,"[420.256591796875, 386.1680603027344, 493.38232421875, 436.9900207519531]"
10,car,0.5591650605201721,"[365.43084716796875, 377.0343322753906, 404.88726806640625, 407.9965515136719]"
10,car,0.37647125124931335,"[776.1493530273438, 369.0090026855469, 828.8734741210938, 396.0067443847656]"
10,car,0.34971755743026733,"[613.72265625, 366.17431640625, 644.468505859375, 389.38372802734375]"
11,car,0.6222896575927734,"[420.8607177734375, 386.67523193359375, 496.1861572265625, 438.09478759765625]"
11,car,0.5343531966209412,"[365.488037109375, 377.1407470703125, 404.9453125, 407.42138671875]"
11,car,0.39851218461990356,"[777.4854736328125, 369.82415771484375, 831.6982421875, 398.05853271484375]"
11,car,0.36930161714553833,"[614.183349609375, 365.9340515136719, 644.704833984375, 389.9919738769531]"
11,car,0.2546246349811554,"[770.099853515625, 370.19622802734375, 831.004150390625, 407.56488037109375]"
12,car,0.7705578804016113,"[422.2706298828125, 382.1019287109375, 499.2364501953125, 437.7020263671875]"
12,car,0.5558366179466248,"[365.8009338378906, 377.0030517578125, 404.8819885253906, 409.2718505859375]"
12,car,0.4309302866458893,"[616.380126953125, 368.71124267578125, 646.749755859375, 391.73394775390625]"
12,car,0.4058929681777954,"[780.982666015625, 370.56439208984375, 834.5926513671875, 397.42034912109375]"
12,car,0.25545743107795715,"[0.0, 378.4440612792969, 61.85071563720703, 418.3606262207031]"
13,car,0.6970176100730896,"[422.62744140625, 385.18438720703125, 498.4779052734375, 437.74346923828125]"
13,car,0.6218659281730652,"[359.75250244140625, 378.21966552734375, 403.67791748046875, 411.49700927734375]"
13,car,0.41774845123291016,"[783.0169677734375, 370.3499755859375, 836.4683837890625, 397.434326171875]"
13,car,0.37170174717903137,"[0.0, 379.40765380859375, 60.46485900878906, 418.47528076171875]"
13,car,0.34349551796913147,"[617.9027099609375, 370.325439453125, 647.820068359375, 391.456787109375]"
14,car,0.6825016736984253,"[424.81768798828125, 389.5039978027344, 500.04071044921875, 435.9118347167969]"
14,car,0.549932599067688,"[360.883544921875, 377.49609375, 405.010986328125, 411.793701171875]"
14,car,0.40318402647972107,"[0.0, 377.8194885253906, 59.994258880615234, 418.4749450683594]"
14,car,0.3618137836456299,"[783.888671875, 371.6137390136719, 838.492431640625, 396.7442932128906]"
14,car,0.26239120960235596,"[620.135009765625, 369.744873046875, 649.1114501953125, 389.629638671875]"
15,car,0.6853885650634766,"[425.8541259765625, 387.1783142089844, 502.776123046875, 436.8273620605469]"
15,car,0.6716080904006958,"[358.20098876953125, 379.1731262207031, 403.55657958984375, 412.6317443847656]"
15,person,0.5869475603103638,"[916.7479858398438, 352.75750732421875, 946.6672973632812, 433.2579345703125]"
15,bus,0.5063657164573669,"[811.6724853515625, 308.56610107421875, 1005.89111328125, 401.00958251953125]"
15,car,0.4676792323589325,"[0.0, 380.0428466796875, 57.336769104003906, 418.137451171875]"
15,car,0.40045368671417236,"[786.7982177734375, 370.58843994140625, 840.8245849609375, 396.85223388671875]"
16,car,0.6804243922233582,"[427.7561340332031, 383.948974609375, 505.6701965332031, 437.397216796875]"
