frame,class,confidence,bbox
41,SCHOOL ZONE,0.5082653760910034,"[1232.0, 69.0, 1280.0, 236.0]"
176,NO U TURN,0.7649158239364624,"[198.0, 258.0, 306.0, 363.0]"
177,NO U TURN,0.5888988375663757,"[168.0, 251.0, 291.0, 362.0]"
178,NO U TURN,0.8043895959854126,"[151.0, 241.0, 274.0, 360.0]"
179,NO U TURN,0.5320573449134827,"[126.0, 231.0, 257.0, 367.0]"
181,NO U TURN,0.5553224086761475,"[68.0, 209.0, 218.0, 353.0]"
182,NO U TURN,0.7486613988876343,"[44.0, 200.0, 181.0, 343.0]"
183,NO RIGHT TURN,0.5776512622833252,"[8.0, 183.0, 156.0, 337.0]"
185,NO U TURN,0.7520103454589844,"[0.0, 151.0, 100.0, 335.0]"
186,SPEED LIMIT 100KMH,0.6888630986213684,"[0.0, 145.0, 73.0, 360.0]"
