frame,class,confidence,bbox
10,WALK CROSS,0.5303103923797607,"[0.0, 49.0, 109.0, 276.0]"
14,NO RIGHT TURN,0.534590482711792,"[0.0, 417.0, 1280.0, 719.0]"
17,NO RIGHT TURN,0.5228692293167114,"[1.0, 422.0, 1280.0, 720.0]"
19,NO RIGHT TURN,0.5212935209274292,"[1.0, 434.0, 1280.0, 720.0]"
66,SPEED LIMIT 40KMH,0.9177796244621277,"[0.0, 0.0, 1279.0, 720.0]"
85,SPEED LIMIT 40KMH,0.5890020728111267,"[6.0, 1.0, 1280.0, 600.0]"
131,SPEED LIMIT 40KMH,0.9025049805641174,"[0.0, 2.0, 1280.0, 720.0]"
134,SPEED LIMIT 40KMH,0.9219503998756409,"[0.0, 3.0, 1280.0, 720.0]"
143,SCHOOL ZONE,0.5486657619476318,"[0.0, 0.0, 186.0, 387.0]"
144,SCHOOL ZONE,0.681505024433136,"[0.0, 0.0, 137.0, 360.0]"
145,SCHOOL ZONE,0.5333324670791626,"[0.0, 1.0, 100.0, 356.0]"
148,SCHOOL ZONE,0.5788542032241821,"[0.0, 5.0, 83.0, 361.0]"
149,SCHOOL ZONE,0.6325074434280396,"[0.0, 3.0, 111.0, 350.0]"
157,SCHOOL ZONE,0.6610890626907349,"[0.0, 75.0, 138.0, 340.0]"
158,SCHOOL ZONE,0.5651342868804932,"[0.0, 76.0, 126.0, 336.0]"
159,WALK CROSS,0.769291341304779,"[1.0, 2.0, 126.0, 342.0]"
159,SCHOOL ZONE,0.7314929962158203,"[0.0, 81.0, 127.0, 341.0]"
160,SCHOOL ZONE,0.6714514493942261,"[0.0, 99.0, 101.0, 341.0]"
161,SCHOOL ZONE,0.8039728999137878,"[0.0, 131.0, 109.0, 340.0]"
162,SCHOOL ZONE,0.7712138891220093,"[0.0, 108.0, 87.0, 340.0]"
163,SCHOOL ZONE,0.5451289415359497,"[0.0, 120.0, 71.0, 337.0]"
165,WALK CROSS,0.5455319285392761,"[0.0, 145.0, 77.0, 334.0]"
218,STOP,0.5769131183624268,"[832.0, 174.0, 929.0, 273.0]"
222,STOP,0.6896824836730957,"[853.0, 174.0, 947.0, 265.0]"
225,STOP,0.5530153512954712,"[883.0, 157.0, 969.0, 256.0]"
227,STOP,0.8265093564987183,"[891.0, 146.0, 987.0, 250.0]"
228,STOP,0.828377366065979,"[899.0, 142.0, 994.0, 248.0]"
229,STOP,0.8795516490936279,"[913.0, 144.0, 1006.0, 253.0]"
230,STOP,0.7906901240348816,"[916.0, 131.0, 1020.0, 251.0]"
231,STOP,0.8468992114067078,"[931.0, 139.0, 1019.0, 248.0]"
232,STOP,0.8253525495529175,"[943.0, 139.0, 1033.0, 244.0]"
233,STOP,0.8772943019866943,"[955.0, 129.0, 1051.0, 239.0]"
234,STOP,0.7660651803016663,"[963.0, 139.0, 1053.0, 235.0]"
235,STOP,0.7738000154495239,"[972.0, 133.0, 1064.0, 231.0]"
236,STOP,0.7965620160102844,"[984.0, 131.0, 1081.0, 236.0]"
237,STOP,0.8303132653236389,"[989.0, 117.0, 1085.0, 231.0]"
238,STOP,0.8926823735237122,"[1004.0, 109.0, 1104.0, 222.0]"
239,STOP,0.8697476983070374,"[1018.0, 106.0, 1131.0, 219.0]"
240,STOP,0.8660761713981628,"[1019.0, 106.0, 1135.0, 214.0]"
241,STOP,0.8307190537452698,"[1035.0, 102.0, 1146.0, 209.0]"
242,STOP,0.8444317579269409,"[1050.0, 91.0, 1159.0, 200.0]"
243,STOP,0.8987801671028137,"[1064.0, 83.0, 1178.0, 196.0]"
244,STOP,0.9273884296417236,"[1085.0, 73.0, 1204.0, 197.0]"
245,STOP,0.8471816778182983,"[1093.0, 66.0, 1224.0, 194.0]"
246,STOP,0.8365898728370667,"[1115.0, 65.0, 1225.0, 191.0]"
247,STOP,0.8770840764045715,"[1131.0, 60.0, 1267.0, 183.0]"
248,STOP,0.8565551042556763,"[1151.0, 56.0, 1275.0, 195.0]"
249,STOP,0.8862774968147278,"[1167.0, 42.0, 1279.0, 187.0]"
250,STOP,0.8610342144966125,"[1183.0, 36.0, 1280.0, 187.0]"
251,STOP,0.8373244404792786,"[1207.0, 34.0, 1280.0, 172.0]"
252,STOP,0.5516244769096375,"[1229.0, 13.0, 1280.0, 169.0]"
