frame,original_detections,avg_corrupted_confidence,corrupted_detections,weighted_confidence
0,16,0.575063169002533,16,0.575063169002533
1,16,0.5458958279341459,16,0.5458958279341459
2,17,0.5190951789126677,17,0.5190951789126677
3,15,0.5867066423098246,15,0.5867066423098246
4,15,0.5723411579926808,15,0.5723411579926808
5,16,0.5593517124652863,16,0.5593517124652863
6,13,0.5818505057921777,13,0.5818505057921777
7,14,0.5582198521920613,14,0.5582198521920613
8,14,0.58028401860169,14,0.58028401860169
9,14,0.5763486708913531,14,0.5763486708913531
10,14,0.5744796480451312,14,0.5744796480451312
12,13,0.5740959282432284,14,0.6182571534927075
13,12,0.524160091082255,15,0.6552001138528187
14,12,0.49296458065509796,12,0.49296458065509796
15,13,0.46171371524150556,13,0.4617137152415055
16,14,0.4493756055831909,10,0.32098257541656494
17,15,0.4630185230211778,11,0.339546916882197
18,14,0.38094395895799,12,0.32652339339256287
19,13,0.3929594695568085,10,0.30227651504369885
20,13,0.40096182823181153,5,0.15421608778146598
21,13,0.3283552612577165,7,0.17680667913877043
22,13,0.3693610529104869,3,0.0852371660562662
23,13,0.3231952130794525,5,0.1243058511844048
24,15,0.31090765073895454,8,0.16581741372744244
25,15,0.35419128835201263,2,0.047225505113601685
26,16,0.39377304166555405,4,0.09844326041638851
27,15,0.42632460594177246,3,0.08526492118835449
28,15,0.42815373837947845,2,0.05708716511726379
29,17,0.3852621018886566,3,0.06798742974505705
30,14,0.4215863823890686,5,0.15056656513895306
31,13,0.38190063834190363,5,0.14688486090073216
32,14,0.6334018707275391,2,0.09048598153250557
33,15,0.35659969598054886,4,0.0950932522614797
34,13,0.36219121019045514,3,0.08358258696702811
35,12,0.42103386918703706,3,0.10525846729675926
36,13,0.36087994277477264,4,0.11103998239223774
37,12,0.4253474399447441,4,0.14178247998158136
38,11,0.3448058217763901,4,0.12538393519141458
39,13,0.36890031894048053,3,0.08513084283241858
40,12,0.3114908635616302,3,0.07787271589040755
41,13,0.33186050504446024,4,0.1021109246290647
42,13,0.3587634364763896,3,0.0827915622637822
43,14,0.3754177192846934,3,0.0804466541324343
44,13,0.4105023592710495,2,0.063154209118623
45,15,0.2957767248153686,2,0.03943689664204915
46,14,0.39277222752571106,2,0.05611031821795872
47,16,0.34129558503627777,2,0.04266194812953472
48,14,0.3562379032373428,2,0.050891129033906114
49,12,0.4279149770736694,1,0.03565958142280578
50,14,0.45365746319293976,2,0.06480820902756282
51,13,0.3614649474620819,2,0.05560999191724337
52,11,0.2828390300273895,1,0.025712639093399048
53,13,0.4120806008577347,4,0.12679403103314912
54,13,0.412256196141243,4,0.12684806035115168
55,13,0.38114290436108905,3,0.08795605485255902
56,11,0.34260277662958416,7,0.21801994876428082
57,13,0.34246344566345216,5,0.13171670987055853
58,12,0.4467890501022339,5,0.18616210420926413
59,11,0.4518265624841054,3,0.12322542613202875
60,10,0.4496762529015541,4,0.17987050116062164
61,13,0.361544953925269,7,0.1946780521136064
62,13,0.5159963965415955,4,0.1587681220127986
63,12,0.45104136566321057,6,0.22552068283160528
64,14,0.43108472653797697,7,0.21554236326898848
65,10,0.4928643345832825,5,0.24643216729164125
66,13,0.34083237392561777,7,0.1835251244214865
67,12,0.30383300036191935,8,0.2025553335746129
68,11,0.3433886667092641,6,0.18730290911414404
69,13,0.4201395332813263,10,0.32318425637025094
70,12,0.38956541419029234,10,0.3246378451585769
71,14,0.5086400732398033,4,0.14532573521137238
72,15,0.44375536441802976,10,0.29583690961201986
73,14,0.4021685446302096,12,0.3447158953973225
74,15,0.4060918651521206,8,0.21658232808113098
75,12,0.4478522717952728,5,0.18660511324803034
76,12,0.4802510695798056,7,0.2801464572548866
77,11,0.46730473211833407,7,0.29737573862075806
78,15,0.5396748036146164,4,0.14391328096389772
79,13,0.5024332652489344,6,0.23189227626873896
80,15,0.5715242803096772,5,0.19050809343655906
81,12,0.5741003503402075,6,0.2870501751701037
82,10,0.4606149084866047,8,0.3684919267892838
83,10,0.5992805421352386,5,0.2996402710676193
84,10,0.4685372743341658,9,0.4216835469007492
85,8,0.5510332882404327,5,0.34439580515027046
86,8,0.5010620015008109,7,0.43842925131320953
87,7,0.530834473669529,4,0.30333398495401653
88,10,0.6337041556835175,5,0.31685207784175873
89,9,0.6086471378803253,5,0.33813729882240295
90,8,0.5851047188043594,4,0.2925523594021797
91,9,0.4824962541460991,4,0.2144427796204885
92,11,0.4394034913608006,7,0.27962040359323675
93,9,0.4808112382888794,5,0.267117354604933
94,8,0.43670347332954407,8,0.43670347332954407
95,10,0.43568435311317444,7,0.30497904717922214
96,9,0.4463477395474911,8,0.3967535462644365
97,11,0.4253002852201462,8,0.3093092983419245
98,12,0.43945900723338127,8,0.29297267148892087
99,13,0.47068090240160626,6,0.21723733956997213
100,13,0.4203534076611201,6,0.1940092650743631
101,11,0.5464921245972315,6,0.29808661341667175
102,13,0.4788725897669792,4,0.1473454122359936
103,12,0.42422113319238025,6,0.2121105665961901
104,11,0.7758244276046753,1,0.07052949341860684
105,12,0.5103632062673569,2,0.08506053437789281
106,13,0.34342094659805295,5,0.1320849794607896
109,12,0.3821897308031718,6,0.1910948654015859
110,12,0.4578280548254649,3,0.11445701370636621
111,11,0.31356386840343475,2,0.057011612436988136
113,8,0.39623408516248065,6,0.2971755638718605
114,11,0.37077921628952026,3,0.10112160444259644
115,10,0.4088986913363139,3,0.12266960740089418
116,7,0.3564451113343238,4,0.20368292076247077
117,7,0.3626481493314107,3,0.15542063542774745
118,9,0.295149028301239,1,0.032794336477915444
119,9,0.29163193702697754,4,0.12961419423421225
121,7,0.29820117354393,1,0.04260016764913286
122,11,0.3637545307477315,3,0.09920578111301767
124,9,0.33453311522801715,3,0.11151103840933904
126,7,0.371501162648201,2,0.10614318932805743
127,8,0.258475661277771,1,0.032309457659721375
131,10,0.3455511629581451,1,0.03455511629581451
133,10,0.2635718882083893,1,0.026357188820838928
137,11,0.2892985641956329,1,0.02629986947233026
139,11,0.3365220427513122,1,0.030592912977392018
140,9,0.5388430953025818,1,0.0598714550336202
141,10,0.5364363193511963,1,0.05364363193511963
142,11,0.4552185833454132,1,0.041383507576855744
143,10,0.4843669533729553,1,0.048436695337295534
144,9,0.5177624821662903,1,0.057529164685143366
145,10,0.4608434438705444,1,0.046084344387054436
147,10,0.2684045135974884,1,0.02684045135974884
148,9,0.350605845451355,1,0.03895620505015055
149,10,0.31572161614894867,2,0.06314432322978973
150,11,0.3642113357782364,2,0.06622024286877025
151,9,0.3537725955247879,2,0.07861613233884175
152,8,0.4858848750591278,1,0.060735609382390976
153,8,0.4646762907505035,1,0.058084536343812936
154,9,0.38811276853084564,2,0.08624728189574347
155,8,0.38247905671596527,2,0.09561976417899132
156,7,0.4036147892475128,2,0.11531851121357509
157,7,0.3269041180610656,3,0.14010176488331383
158,9,0.36949481070041656,2,0.0821099579334259
159,8,0.3203187783559163,3,0.12011954188346863
160,8,0.3119162817796071,3,0.11696860566735268
161,8,0.3131122390429179,3,0.11741708964109421
162,8,0.30952711900075275,3,0.11607266962528229
163,8,0.38847216963768005,4,0.19423608481884003
164,8,0.347622312605381,4,0.1738111563026905
165,10,0.42749717086553574,4,0.1709988683462143
166,11,0.3926565150419871,3,0.10708814046599649
167,9,0.44318895041942596,2,0.09848643342653911
168,10,0.34675271312395733,3,0.10402581393718721
169,10,0.34150469303131104,4,0.13660187721252443
170,10,0.41798924406369525,3,0.12539677321910858
171,8,0.43506385385990143,2,0.10876596346497536
172,11,0.416885681450367,4,0.1515947932546789
173,9,0.45262278119723004,3,0.15087426039907667
174,8,0.3907208542029062,3,0.14652032032608983
175,9,0.46368755400180817,4,0.20608335733413696
176,9,0.3674635887145996,4,0.16331715053982204
177,10,0.45096641778945923,2,0.09019328355789184
178,12,0.3822834715247154,4,0.1274278238415718
179,12,0.5388429164886475,3,0.13471072912216187
180,14,0.3797536611557007,5,0.1356263075556074
181,11,0.5356031457583109,3,0.14607358520681207
182,10,0.4208344221115112,4,0.16833376884460446
183,9,0.4174003481864929,5,0.2318890823258294
184,8,0.36859862208366395,5,0.23037413880228996
185,8,0.5908283218741417,4,0.29541416093707085
186,10,0.5522782564163208,5,0.2761391282081604
187,11,0.44768589238325757,6,0.24419230493632232
188,10,0.653386394182841,3,0.19601591825485226
189,11,0.5962104598681132,3,0.1626028526913036
190,10,0.6226649284362793,3,0.1867994785308838
191,9,0.6689096093177795,3,0.2229698697725932
192,9,0.6812258164087931,3,0.22707527213626438
193,9,0.6443323890368143,3,0.21477746301227146
194,10,0.6724857290585836,3,0.2017457187175751
195,12,0.4785498082637787,4,0.1595166027545929
196,11,0.5319208577275276,4,0.1934257664463737
197,10,0.7048862179120382,3,0.21146586537361148
198,10,0.597798228263855,4,0.239119291305542
199,11,0.4976250007748604,4,0.18095454573631287
200,9,0.5164622128009796,5,0.2869234515560998
201,11,0.481834813952446,6,0.2628189894286069
202,8,0.5578987151384354,4,0.2789493575692177
203,11,0.48248549302419025,6,0.26317390528592194
204,11,0.4593258909881115,8,0.3340551934458993
205,10,0.4282318651676178,9,0.385408678650856
206,9,0.4663559893767039,6,0.31090399291780263
207,9,0.44287537535031635,6,0.29525025023354423
208,10,0.5196683747427804,7,0.36376786231994623
209,11,0.5102051326206752,7,0.3246759934858842
210,12,0.5262056291103363,6,0.26310281455516815
211,10,0.5527782320976258,5,0.2763891160488129
212,12,0.46279627581437427,6,0.23139813790718713
213,11,0.5071130494276682,6,0.2766071178696372
214,11,0.5062907139460245,6,0.27615857124328613
215,14,0.5293771922588348,5,0.18906328294958388
216,11,0.5269729420542717,4,0.19162652438337152
217,13,0.5608945786952972,5,0.21572868411357585
218,12,0.5116741905609766,6,0.2558370952804883
219,14,0.5054235607385635,6,0.21661009745938437
220,12,0.5467405468225479,4,0.1822468489408493
221,11,0.4964657170431955,7,0.31593272902748804
222,10,0.49548259377479553,7,0.3468378156423569
223,9,0.5375738888978958,6,0.3583825925985972
224,8,0.5403040995200475,6,0.40522807464003563
225,12,0.570810979604721,5,0.2378379081686338
226,8,0.5798066437244416,5,0.36237915232777596
227,8,0.5717659533023834,5,0.35735372081398964
228,8,0.5027655448232379,7,0.43991985172033315
229,11,0.5446257352828979,5,0.24755715240131726
230,10,0.565527218580246,5,0.282763609290123
231,11,0.4260100211415972,7,0.2710972861810164
232,10,0.44010649248957634,8,0.35208519399166105
233,12,0.48991644009947777,8,0.3266109600663185
234,14,0.45527148577902055,9,0.2926745265722275
235,15,0.46855474412441256,10,0.31236982941627506
236,15,0.4518613189458847,10,0.30124087929725646
237,16,0.43505263328552246,9,0.24471710622310638
238,11,0.4632397379193987,7,0.29478892413052643
239,16,0.479351954800742,7,0.20971648022532463
240,12,0.5265105267365774,6,0.2632552633682887
241,11,0.43036051094532013,8,0.3129894625056874
242,10,0.454809763601848,7,0.3183668345212936
243,8,0.4412227690219879,5,0.27576423063874245
244,8,0.3849682130596854,11,0.5293312929570675
245,9,0.42452563558306006,7,0.33018660545349116
246,10,0.4504560927549998,6,0.2702736556529999
247,13,0.5330200493335724,4,0.16400616902571458
248,12,0.48615864912668866,6,0.24307932456334436
249,11,0.43702987262180865,7,0.278109918941151
250,11,0.5217935144901276,11,0.5217935144901276
251,11,0.5373025672002272,11,0.5373025672002272
252,13,0.5626436150991,13,0.5626436150991
253,14,0.5587330098663058,14,0.5587330098663058
254,10,0.653353574872017,10,0.653353574872017
255,10,0.635205763578415,10,0.635205763578415
256,13,0.5818231678926028,13,0.5818231678926028
257,12,0.5345560535788536,12,0.5345560535788536
258,14,0.4858923724719456,14,0.4858923724719456
259,11,0.5289139232852242,11,0.5289139232852242
260,11,0.49937116828831757,11,0.49937116828831757
261,10,0.4856435239315033,10,0.4856435239315033
262,11,0.5025465244596655,11,0.5025465244596655
263,9,0.5606559216976166,9,0.5606559216976166
264,9,0.5553980271021525,9,0.5553980271021525
265,9,0.495205024878184,9,0.4952050248781841
266,9,0.5479834278424581,9,0.5479834278424581
267,9,0.5057691435019175,9,0.5057691435019175
268,9,0.5417309270964729,9,0.5417309270964729
269,9,0.4901595248116387,9,0.4901595248116387
270,7,0.6263114724840436,7,0.6263114724840436
271,7,0.5807060769626072,7,0.5807060769626072
272,7,0.6714600665228707,7,0.6714600665228707
273,8,0.5170462764799595,8,0.5170462764799595
274,5,0.6779457926750183,5,0.6779457926750183
275,5,0.6264493227005005,5,0.6264493227005006
276,4,0.6673060357570648,4,0.6673060357570648
277,6,0.5718438973029455,6,0.5718438973029455
278,7,0.510502278804779,7,0.510502278804779
279,7,0.4572581478527614,7,0.4572581478527614
280,6,0.5443295041720072,6,0.5443295041720072
281,7,0.47088720543043955,7,0.47088720543043955
282,9,0.4784643285804325,9,0.4784643285804325
283,7,0.5129339226654598,7,0.5129339226654598
284,8,0.468706589192152,8,0.468706589192152
285,5,0.5049037933349609,5,0.5049037933349609
286,5,0.501534378528595,5,0.501534378528595
287,4,0.5401701778173447,4,0.5401701778173447
288,4,0.5215290859341621,4,0.5215290859341621
289,4,0.5706451311707497,4,0.5706451311707497
290,4,0.5948119163513184,4,0.5948119163513184
291,4,0.62909996509552,4,0.62909996509552
292,6,0.5109940220912298,6,0.5109940220912298
293,4,0.6322377175092697,4,0.6322377175092697
294,6,0.511949434876442,6,0.511949434876442
295,3,0.712327778339386,3,0.712327778339386
296,4,0.6316819712519646,4,0.6316819712519646
297,6,0.53593843181928,6,0.53593843181928
298,5,0.599957001209259,5,0.599957001209259
299,5,0.6204887628555298,5,0.6204887628555298
