frame,original_detections,avg_corrupted_confidence,corrupted_detections,weighted_confidence
0,11,0.6024787046692588,11,0.6024787046692588
1,11,0.6024895987727426,11,0.6024895987727426
2,10,0.5733368769288063,12,0.6880042523145675
3,12,0.5369620391955743,13,0.5817088757952055
4,10,0.5802620270035483,11,0.6382882297039032
5,13,0.6125717133283615,10,0.4712090102525857
6,14,0.613068351149559,10,0.4379059651068279
7,11,0.6128909796476364,10,0.5571736178614877
8,11,0.6527055352926254,8,0.474694934758273
9,9,0.6541666761040688,8,0.5814814898702834
10,10,0.5699728212573312,11,0.6269701033830642
11,10,0.5449631030742939,13,0.7084520339965821
13,13,0.3574052453041076,1,0.027492711177239046
21,15,0.3095166385173797,1,0.020634442567825314
22,16,0.4513479769229889,1,0.028209248557686806
23,15,0.5191148370504379,2,0.06921531160672506
24,15,0.4531955420970917,1,0.030213036139806113
25,13,0.4385528266429901,1,0.033734832818691544
26,12,0.4326008558273315,1,0.03605007131894429
28,14,0.264015793800354,1,0.018858270985739573
29,13,0.2622714638710022,1,0.020174727990077093
30,15,0.275532066822052,1,0.018368804454803468
34,14,0.4361897706985473,1,0.03115641219275338
35,19,0.3312804400920868,1,0.01743581263642562
36,16,0.2819872945547104,2,0.0352484118193388
37,18,0.3611598610877991,1,0.020064436727099948
39,22,0.26878488063812256,2,0.02443498914892023
40,22,0.3687599748373031,2,0.03352363407611846
41,15,0.3241044729948044,2,0.043213929732640585
42,18,0.3392135947942734,2,0.03769039942158593
43,17,0.4040518701076507,1,0.023767757065155923
44,17,0.3446429371833801,1,0.020273113951963538
45,18,0.2679573694864909,3,0.04465956158108182
46,21,0.4087881743907928,1,0.019466103542418706
49,16,0.3236364424228668,1,0.020227277651429176
50,17,0.3890746831893921,1,0.022886746069964242
51,19,0.2789794206619262,1,0.014683127403259274
57,15,0.5631829500198364,1,0.03754553000132243
58,15,0.5635886788368225,1,0.037572578589121504
59,16,0.4030038714408874,1,0.025187741965055462
60,12,0.5482087731361389,1,0.045684064428011574
66,18,0.2562830150127411,1,0.014237945278485617
93,12,0.3985688686370849,1,0.033214072386423744
94,15,0.5978601574897766,1,0.03985734383265178
95,13,0.4992382228374481,1,0.03840294021826524
96,12,0.5384237170219421,1,0.04486864308516184
97,12,0.534339189529419,1,0.04452826579411825
101,15,0.2527092099189758,1,0.016847280661265052
102,13,0.3394018709659576,1,0.026107836228150584
104,10,0.33398254215717316,2,0.06679650843143463
105,15,0.35234570503234863,2,0.046979427337646484
106,11,0.3813731670379638,1,0.03467028791254217
107,16,0.7329005599021912,1,0.04580628499388695
108,11,0.5466012805700302,2,0.09938205101273277
109,14,0.6077980548143387,2,0.08682829354490552
110,9,0.36794374386469525,3,0.12264791462156509
111,13,0.5980064868927002,1,0.04600049899174617
114,13,0.31273992359638214,2,0.0481138343994434
128,9,0.3024266064167022,1,0.03360295626852247
